"Date & Time","use [kW]","gen [kW]","Voltaje.Linea 1 [kW]","Voltaje.Linea 2 [V]","Voltaje.Linea 3 [V]","Frecuencia.Linea 1 [Hz]","r1 [kW]","r1+ [kW]","r1* [kVA]","r2 [kW]","r2* [kVA]","r3 [kW]","r4 [V]","r5 [V]","r6 [Hz]","CFE modificado [kW]","Generacion Modificado [kW]","FP GL1 [kW]","FP GL2 [kW]","FP CFE L1 []","FP CFE L2 [kW]"
2016-03-07 23:02:00,25.643100000,35.293500000,-0.000000000,267.628583333,267.217866667,59.987366667,35.293500000,35.293500000,35.750400000,9.650400000,11.312350000,-0.000000000,267.628583333,267.217866667,59.987366667,9.650400000,35.293500000,5.963166667,5.888200000,852.983333333,-1.740483333
2016-03-07 23:01:00,25.885150000,35.256450000,-0.000000000,267.455816667,267.040616667,59.993283333,35.256450000,35.256450000,35.709650000,9.371300000,10.980050000,-0.000000000,267.455816667,267.040616667,59.993283333,9.371300000,35.256450000,6.008250000,5.830150000,853.350000000,-1.738700000
2016-03-07 23:00:00,24.800250000,35.256150000,-0.000000000,267.635483333,267.208800000,59.984533333,35.256150000,35.256150000,35.717450000,10.455900000,12.070250000,-0.000000000,267.635483333,267.208800000,59.984533333,10.455900000,35.256150000,5.990183333,5.848433333,864.800000000,-2.172433333
2016-03-07 22:59:00,23.309750000,35.409350000,-0.000000000,267.829333333,267.449366667,59.984116667,35.409350000,35.409350000,35.898100000,12.099600000,13.606150000,-0.000000000,267.829333333,267.449366667,59.984116667,12.099600000,35.409350000,5.748716667,6.142316667,889.300000000,-2.541066667
2016-03-07 22:58:00,23.357600000,35.421750000,-0.000000000,267.845900000,267.428150000,60.001700000,35.421750000,35.421750000,35.896700000,12.064150000,13.564150000,-0.000000000,267.845900000,267.428150000,60.001700000,12.064150000,35.421750000,5.833600000,6.061450000,889.333333333,-2.622616667
2016-03-07 22:57:00,23.412300000,35.311400000,-0.000000000,267.632400000,267.222383333,60.032083333,35.311400000,35.311400000,35.774950000,11.899100000,13.502350000,-0.000000000,267.632400000,267.222383333,60.032083333,11.899100000,35.311400000,6.020966667,5.836050000,881.316666667,-2.811150000
2016-03-07 22:56:00,23.407450000,35.368700000,-0.000000000,267.670266667,267.310216667,60.030066667,35.368700000,35.368700000,35.830500000,11.961250000,13.649200000,-0.000000000,267.670266667,267.310216667,60.030066667,11.961250000,35.368700000,6.138600000,5.737483333,876.316666667,-2.919500000
2016-03-07 22:55:00,23.399050000,35.391950000,-0.000000000,267.775300000,267.455233333,60.015266667,35.391950000,35.391950000,35.862750000,11.992900000,13.667900000,-0.000000000,267.775300000,267.455233333,60.015266667,11.992900000,35.391950000,6.087100000,5.796900000,877.500000000,-2.860950000
2016-03-07 22:54:00,23.381800000,35.388950000,-0.000000000,267.686633333,267.364900000,59.994966667,35.388950000,35.388950000,35.860850000,12.007150000,13.621250000,-0.000000000,267.686633333,267.364900000,59.994966667,12.007150000,35.388950000,6.090366667,5.792550000,881.450000000,-2.859000000
2016-03-07 22:53:00,23.399500000,35.391750000,-0.000000000,267.591716667,267.274583333,60.002233333,35.391750000,35.391750000,35.905650000,11.992250000,13.705200000,-0.000000000,267.591716667,267.274583333,60.002233333,11.992250000,35.391750000,6.037616667,5.846300000,874.966666667,-2.811666667
2016-03-07 22:52:00,23.389650000,35.437000000,-0.000000000,267.889983333,267.556583333,60.020350000,35.437000000,35.437000000,35.966600000,12.047350000,13.833150000,-0.000000000,267.889983333,267.556583333,60.020350000,12.047350000,35.437000000,6.080866667,5.818650000,870.866666667,-2.867500000
2016-03-07 22:51:00,23.397750000,35.453950000,-0.000000000,268.454866667,268.172866667,60.015366667,35.453950000,35.453950000,35.978500000,12.056200000,13.777400000,-0.000000000,268.454866667,268.172866667,60.015366667,12.056200000,35.453950000,6.004500000,5.900350000,875.050000000,-2.768850000
2016-03-07 22:50:00,23.380850000,35.410900000,-0.000000000,268.239450000,267.957866667,59.990533333,35.410900000,35.410900000,35.932800000,12.030050000,13.779000000,-0.000000000,268.239450000,267.957866667,59.990533333,12.030050000,35.410900000,6.062983333,5.827416667,873.000000000,-2.821500000
2016-03-07 22:49:00,23.399600000,35.413250000,-0.000000000,268.111733333,267.773583333,60.017166667,35.413250000,35.413250000,35.914700000,12.013650000,13.766600000,-0.000000000,268.111733333,267.773583333,60.017166667,12.013650000,35.413250000,6.105533333,5.785783333,872.616666667,-2.879383333
2016-03-07 22:48:00,23.394500000,35.351600000,-0.000000000,267.408983333,267.088466667,60.019366667,35.351600000,35.351600000,35.845900000,11.957100000,13.765400000,-0.000000000,267.408983333,267.088466667,60.019366667,11.957100000,35.351600000,6.197150000,5.673516667,868.633333333,-2.976783333
